Sample,Total Raw Reads(Mb),Total Clean Reads(Mb),Total Clean Bases(Gb),Clean Reads Q20(%),Clean Reads Q30(%),Clean Reads Ratio(%),GC(%)
17C8-E20-A10,3.54,3.54,0.54,97.09,93.22,99.99,47.12
17C8-E20-A11,2.16,2.16,0.33,96.06,91.14,99.99,46.80
17C8-E20-A1,1.45,1.45,0.22,96.44,92.52,99.99,48.46
17C8-E20-A12,2.23,2.23,0.34,96.55,92.75,99.99,46.71
17C8-E20-A13,2.09,2.09,0.32,95.81,91.89,99.99,47.67
17C8-E20-A14,1.93,1.93,0.29,96.47,92.84,99.99,47.31
17C8-E20-A15,2.34,2.34,0.35,95.94,91.72,99.99,46.95
17C8-E20-A16,3.12,3.12,0.47,96.94,93.14,99.99,46.97
17C8-E20-A17,2.41,2.41,0.36,95.28,88.51,99.99,47.45
17C8-E20-A18,4.39,4.39,0.66,96.93,92.69,99.99,47.80
17C8-E20-A19,3.41,3.41,0.52,96.91,93.14,99.99,47.15
17C8-E20-A20,2.35,2.35,0.35,97.33,93.96,100.00,47.37
17C8-E20-A21,4.57,4.57,0.69,96.44,92.49,99.99,46.47
17C8-E20-A2,3.06,3.05,0.46,96.71,91.87,99.99,47.91
17C8-E20-A22,2.50,2.50,0.38,96.47,92.54,99.99,46.61
17C8-E20-A23,3.98,3.98,0.60,97.02,93.11,99.99,47.45
17C8-E20-A24,4.63,4.63,0.70,97.01,92.53,99.99,48.39
17C8-E20-A3,2.75,2.75,0.41,96.87,92.51,99.99,46.62
17C8-E20-A4,2.90,2.90,0.44,96.97,93.13,99.99,47.03
17C8-E20-A5,2.90,2.90,0.44,96.25,91.22,99.99,47.39
17C8-E20-A6,1.71,1.71,0.26,96.37,92.52,99.99,46.51
17C8-E20-A7,3.57,3.57,0.54,96.88,92.93,99.99,48.47
17C8-E20-A8,3.28,3.28,0.49,96.69,92.67,99.99,47.25
17C8-E20-A9,1.88,1.88,0.28,95.79,91.46,99.99,46.22
17C8-E20-B10,2.88,2.88,0.44,96.68,92.74,99.99,47.06
17C8-E20-B11,1.44,1.44,0.22,96.14,92.17,99.99,46.02
17C8-E20-B1,0.00,0.00,0.00,93.51,89.15,100.00,54.24
17C8-E20-B12,3.60,3.60,0.54,95.72,89.73,99.99,47.23
17C8-E20-B13,4.33,4.33,0.65,96.77,92.41,99.99,48.81
17C8-E20-B14,3.74,3.74,0.56,96.41,91.55,99.99,47.16
17C8-E20-B15,4.27,4.27,0.64,97.15,93.32,99.99,47.54
17C8-E20-B17,3.04,3.04,0.46,96.32,91.12,100.00,46.81
17C8-E20-B19,1.99,1.99,0.30,94.80,87.68,100.00,46.40
17C8-E20-B20,3.66,3.66,0.55,95.78,89.43,100.00,46.98
17C8-E20-B21,0.47,0.47,0.07,93.72,89.03,99.99,46.30
