Sample,Total Reads,Total Mapped Reads (%),Unique Match(%),Multi-position Match (%),Total Unmapped Reads (%)
17C8-E20-A10,1772315,63.10%,12.91%,50.18%,36.90%
17C8-E20-A11,1081314,56.76%,11.23%,45.53%,43.24%
17C8-E20-A1,723828,60.63%,10.81%,49.82%,39.37%
17C8-E20-A12,1115227,55.58%,11.15%,44.43%,44.42%
17C8-E20-A13,1047326,51.40%,9.01%,42.39%,48.60%
17C8-E20-A14,965550,52.36%,10.28%,42.08%,47.64%
17C8-E20-A15,1171549,52.14%,9.93%,42.21%,47.86%
17C8-E20-A16,1558495,61.25%,11.75%,49.50%,38.75%
17C8-E20-A17,1202874,68.70%,13.06%,55.64%,31.30%
17C8-E20-A18,2194014,64.83%,12.75%,52.08%,35.17%
17C8-E20-A19,1705431,60.47%,12.03%,48.44%,39.53%
17C8-E20-A20,1173690,60.88%,11.63%,49.25%,39.12%
17C8-E20-A21,2286510,52.47%,10.95%,41.51%,47.53%
17C8-E20-A2,1527522,64.58%,12.48%,52.10%,35.42%
17C8-E20-A22,1250366,55.88%,10.58%,45.29%,44.12%
17C8-E20-A23,1992274,63.11%,11.62%,51.48%,36.89%
17C8-E20-A24,2313520,68.12%,13.92%,54.20%,31.88%
17C8-E20-A3,1374167,60.99%,11.60%,49.39%,39.01%
17C8-E20-A4,1450328,61.62%,11.77%,49.85%,38.38%
17C8-E20-A5,1451472,61.48%,12.56%,48.92%,38.52%
17C8-E20-A6,855710,49.29%,10.15%,39.14%,50.71%
17C8-E20-A7,1786907,70.31%,13.16%,57.16%,29.69%
17C8-E20-A8,1638481,58.40%,10.89%,47.52%,41.60%
17C8-E20-A9,941493,46.74%,9.68%,37.06%,53.26%
17C8-E20-B10,1440766,58.86%,11.20%,47.66%,41.14%
17C8-E20-B11,721619,47.36%,9.66%,37.70%,52.64%
17C8-E20-B1,253,27.67%,5.14%,22.53%,72.33%
17C8-E20-B12,1799516,63.94%,13.04%,50.90%,36.06%
17C8-E20-B13,2163757,76.99%,14.84%,62.14%,23.01%
17C8-E20-B14,1870101,60.45%,12.54%,47.91%,39.55%
17C8-E20-B15,2132885,64.88%,12.84%,52.04%,35.12%
17C8-E20-B17,1522234,58.77%,11.83%,46.94%,41.23%
17C8-E20-B19,994996,57.08%,11.64%,45.43%,42.92%
17C8-E20-B20,1829411,63.69%,12.87%,50.82%,36.31%
17C8-E20-B21,233973,43.38%,7.90%,35.49%,56.62%
17C8-E20-B2,2037057,68.04%,13.11%,54.93%,31.96%
17C8-E20-B22,1410377,64.82%,11.72%,53.09%,35.18%
17C8-E20-B23,713974,48.07%,9.05%,39.02%,51.93%
17C8-E20-B24,606007,46.81%,8.33%,38.47%,53.19%
17C8-E20-B3,1424256,62.99%,12.33%,50.66%,37.01%
17C8-E20-B4,1631041,58.43%,12.00%,46.43%,41.57%
17C8-E20-B5,598426,46.19%,8.69%,37.50%,53.81%
17C8-E20-B6,715764,47.11%,9.77%,37.34%,52.89%
17C8-E20-B7,1738602,61.97%,12.71%,49.26%,38.03%
17C8-E20-B8,348231,39.80%,8.34%,31.45%,60.20%
17C8-E20-B9,2417897,63.45%,13.59%,49.86%,36.55%
17C8-E20-C10,1313802,60.24%,12.03%,48.22%,39.76%
17C8-E20-C11,1656453,64.01%,12.46%,51.55%,35.99%
17C8-E20-C1,1184881,59.44%,11.33%,48.11%,40.56%
17C8-E20-C12,1370454,59.32%,12.74%,46.58%,40.68%
17C8-E20-C13,1521691,56.93%,10.89%,46.04%,43.07%
17C8-E20-C14,838011,55.03%,11.33%,43.70%,44.97%
17C8-E20-C15,705307,50.97%,9.55%,41.42%,49.03%
17C8-E20-C16,2231092,63.26%,12.23%,51.03%,36.74%
17C8-E20-C17,761103,65.52%,13.67%,51.85%,34.48%
17C8-E20-C18,1618924,59.50%,11.26%,48.24%,40.50%
17C8-E20-C19,407625,46.27%,9.31%,36.96%,53.73%
17C8-E20-C20,1184730,62.81%,12.49%,50.32%,37.19%
17C8-E20-C21,1229948,59.19%,11.55%,47.64%,40.81%
17C8-E20-C2,861670,49.84%,9.58%,40.26%,50.16%
17C8-E20-C22,821809,48.10%,9.07%,39.03%,51.90%
17C8-E20-C23,1801822,61.23%,11.75%,49.48%,38.77%
17C8-E20-C24,1489472,58.73%,11.77%,46.96%,41.27%
17C8-E20-C3,1893360,63.43%,12.65%,50.78%,36.57%
17C8-E20-C4,1790608,57.83%,12.00%,45.83%,42.17%
17C8-E20-C5,1623891,59.85%,11.79%,48.06%,40.15%
17C8-E20-C6,1311488,59.06%,11.51%,47.54%,40.94%
17C8-E20-C7,2234578,65.90%,13.27%,52.63%,34.10%
17C8-E20-C8,1349898,64.52%,13.13%,51.39%,35.48%
17C8-E20-C9,1044624,55.63%,11.20%,44.43%,44.37%
17C8-E20-D10,1960643,61.10%,12.19%,48.91%,38.90%
17C8-E20-D11,1433227,60.50%,12.48%,48.02%,39.50%
17C8-E20-D1,1779013,68.36%,13.10%,55.26%,31.64%
17C8-E20-D12,1311795,57.52%,11.29%,46.22%,42.48%
17C8-E20-D13,964055,44.00%,9.39%,34.61%,56.00%
17C8-E20-D14,704750,45.33%,9.11%,36.22%,54.67%
17C8-E20-D15,1226113,54.58%,11.17%,43.40%,45.42%
17C8-E20-D17,2388299,65.06%,12.75%,52.31%,34.94%
17C8-E20-D19,1117816,50.51%,9.83%,40.68%,49.49%
17C8-E20-D20,2175701,66.09%,13.45%,52.64%,33.91%
17C8-E20-D21,390021,50.46%,8.94%,41.53%,49.54%
17C8-E20-D2,1634974,66.25%,12.79%,53.46%,33.75%
17C8-E20-D22,2164411,72.19%,15.14%,57.05%,27.81%
17C8-E20-D23,191380,58.69%,12.57%,46.12%,41.31%
17C8-E20-D24,1636134,65.16%,13.23%,51.93%,34.84%
17C8-E20-D3,1831356,56.00%,12.08%,43.92%,44.00%
17C8-E20-D4,1454240,58.66%,11.50%,47.15%,41.34%
17C8-E20-D5,1606347,58.35%,11.50%,46.85%,41.65%
17C8-E20-D6,1458030,58.43%,11.39%,47.04%,41.57%
17C8-E20-D7,1300590,57.66%,11.56%,46.10%,42.34%
17C8-E20-D8,1930552,68.30%,12.65%,55.64%,31.70%
17C8-E20-D9,2133669,67.19%,13.09%,54.10%,32.81%
17C8-E20-E10,2076466,64.73%,13.01%,51.72%,35.27%
17C8-E20-E11,1283785,55.92%,11.03%,44.89%,44.08%
17C8-E20-E1,612443,48.46%,9.31%,39.15%,51.54%
17C8-E20-E12,1886909,64.44%,12.99%,51.45%,35.56%
17C8-E20-E13,1968367,59.84%,12.25%,47.59%,40.16%
17C8-E20-E14,1164724,51.80%,10.30%,41.49%,48.20%
17C8-E20-E15,1724403,61.38%,11.96%,49.43%,38.62%
17C8-E20-E16,1139740,51.86%,10.03%,41.83%,48.14%
17C8-E20-E17,1148250,48.49%,9.75%,38.74%,51.51%
17C8-E20-E18,1330061,58.21%,11.19%,47.02%,41.79%
17C8-E20-E19,2036548,62.04%,12.77%,49.27%,37.96%
17C8-E20-E20,881343,57.72%,10.99%,46.73%,42.28%
17C8-E20-E21,2904427,58.57%,11.76%,46.82%,41.43%
17C8-E20-E2,1121896,58.95%,11.15%,47.80%,41.05%
17C8-E20-E22,969806,52.87%,9.94%,42.93%,47.13%
17C8-E20-E23,1498790,57.21%,10.46%,46.75%,42.79%
17C8-E20-E24,1237370,54.78%,10.79%,43.98%,45.22%
17C8-E20-E3,461623,46.69%,9.28%,37.40%,53.31%
17C8-E20-E4,1135296,54.58%,10.11%,44.47%,45.42%
17C8-E20-E5,1882082,60.80%,12.86%,47.93%,39.20%
17C8-E20-E6,1488780,60.83%,12.05%,48.78%,39.17%
17C8-E20-E7,1324807,53.36%,10.67%,42.68%,46.64%
17C8-E20-E8,1023016,53.58%,11.29%,42.29%,46.42%
17C8-E20-E9,700722,49.82%,9.36%,40.46%,50.18%
17C8-E20-F10,1794985,63.84%,12.24%,51.59%,36.16%
17C8-E20-F11,1636496,57.67%,11.82%,45.85%,42.33%
17C8-E20-F1,1574464,61.22%,12.55%,48.67%,38.78%
17C8-E20-F12,1451247,60.08%,11.69%,48.38%,39.92%
17C8-E20-F13,1123533,51.27%,9.97%,41.30%,48.73%
17C8-E20-F14,2260390,61.78%,13.08%,48.70%,38.22%
17C8-E20-F15,2140832,66.32%,13.38%,52.95%,33.68%
17C8-E20-F17,1142785,48.10%,9.68%,38.42%,51.90%
17C8-E20-F19,725224,23.21%,6.23%,16.98%,76.79%
17C8-E20-F20,624422,48.66%,8.62%,40.05%,51.34%
17C8-E20-F21,457746,47.12%,8.54%,38.59%,52.88%
17C8-E20-F2,1154006,66.27%,12.41%,53.86%,33.73%
17C8-E20-F22,1455906,64.82%,12.62%,52.20%,35.18%
17C8-E20-F23,867193,53.74%,10.44%,43.31%,46.26%
17C8-E20-F24,708573,54.23%,9.84%,44.39%,45.77%
17C8-E20-F3,1878417,64.56%,12.48%,52.07%,35.44%
17C8-E20-F4,1627546,55.19%,11.85%,43.34%,44.81%
17C8-E20-F5,1774397,58.84%,11.74%,47.10%,41.16%
17C8-E20-F6,1183603,62.30%,11.96%,50.34%,37.70%
17C8-E20-F7,1955645,65.19%,13.33%,51.86%,34.81%
17C8-E20-F8,1125353,54.17%,10.44%,43.73%,45.83%
17C8-E20-F9,1471019,55.96%,10.89%,45.07%,44.04%
17C8-E20-G10,1108411,51.29%,9.93%,41.36%,48.71%
17C8-E20-G11,1993206,61.34%,12.08%,49.26%,38.66%
17C8-E20-G1,1493588,64.84%,12.34%,52.50%,35.16%
17C8-E20-G12,1571985,64.42%,12.27%,52.15%,35.58%
17C8-E20-G13,1880090,60.69%,11.82%,48.87%,39.31%
17C8-E20-G14,1595264,56.15%,10.76%,45.38%,43.85%
17C8-E20-G15,1952933,60.61%,11.16%,49.45%,39.39%
17C8-E20-G16,794739,51.56%,9.87%,41.68%,48.44%
17C8-E20-G17,1464002,60.86%,11.71%,49.15%,39.14%
17C8-E20-G18,965858,52.29%,10.09%,42.21%,47.71%
17C8-E20-G19,667062,66.78%,13.35%,53.43%,33.22%
17C8-E20-G20,970637,56.28%,10.46%,45.82%,43.72%
17C8-E20-G21,1957011,51.40%,10.00%,41.40%,48.60%
17C8-E20-G2,1960711,66.89%,13.34%,53.55%,33.11%
17C8-E20-G22,656672,53.45%,9.46%,43.99%,46.55%
17C8-E20-G23,585499,42.22%,8.03%,34.19%,57.78%
17C8-E20-G24,649531,43.64%,8.62%,35.01%,56.36%
17C8-E20-G3,1919102,65.07%,13.03%,52.04%,34.93%
17C8-E20-G4,1000103,55.56%,11.19%,44.37%,44.44%
